,AV FISTULA 16 G X 1 1/4 ,,|00M|,,,|1.01.04.01.006|,|1030|,15834,,| |,,|M00|,0,,| |
,BUCCAL TUBE 6 KIRI,,|00M|,,,|1.01.04.01.006|,|1032|,80,,| |,,|M00|,105000,,| |
,BUCCAL TUBE 6 KANAN,,|00M|,,,|1.01.04.01.006|,|1033|,80,,| |,,|M00|,105000,,| |
,BRONCHO VAXOM ADULT KAP,,|00M|,,,|1.01.04.01.004|,|2063|,20,,| |,,|M00|,20130,,| |
,UNITEK UNITE BONDING ADHESIVE,,|00M|,,,|1.01.04.01.006|,|10321|,2,,| |,,|M00|,3895000,,| |
,MOMETASON FUROAT KRIM 0.1 % 5 G,,|00M|,,,|1.01.04.01.005|,|27015|,298,,| |,,|M00|,7997,,| |
,VITEK AST - GN 93,,|00M|,,,|1.01.04.01.001|,|44985|,32,,| |,,|M00|,2301750,,| |
,PILOKARPIN HIDROKLORIDA 2% TETES MATA (CENDO CARPINE 2% 5 ML),,|00M|,,,|1.01.04.01.001|,|84012|,18,,| |,,|M00|,19437,,| |
,KOMBINASI NATRIUM KLORIDA 4.4 MG + KALIUM KLORIDA 0.8 MG TETES MATA (CENDO LYTEERS 15 ML),,|00M|,,,|1.01.04.01.001|,|84048|,266,,| |,,|M00|,23018,,| |
,KOMBINASI KLORAMFENIKOL 0.2% + HIDROKORTISON 0.5% SALEP MATA (CENDO MYCOS EO 3.5 G),,|00M|,,,|1.01.04.01.005|,|84053|,10,,| |,,|M00|,26853.75,,| |
,KOMBINASI NEOMISIN SULFAT 1.5 M + POLIMIKSIN B SULFAT 10000 IU + GRAMISIDIN 0.025 MG TETES MATA (CENDO POLYGRAN 5 ML),,|00M|,,,|1.01.04.01.001|,|84069|,2,,| |,,|M00|,32352.38,,| |
,KOMBINASI NEOMISIN SULFAT 1.5 M + POLIMIKSIN B SULFAT 10000 IU + GRAMISIDIN 0.025 MG SALEP MATA (CENDO POLYGRAN EO 3.5 G),,|00M|,,,|1.01.04.01.005|,|84070|,2,,| |,,|M00|,18925.5,,| |
,KOMBINASI FLUOROMETASON 1 MG + NEOMISIN 3.5 MG TETES MATA (CENDO POLYNEL 5 ML),,|00M|,,,|1.01.04.01.001|,|84072|,9,,| |,,|M00|,27493.13,,| |
,KOMBINASI TOBRAMISIN 3 MG + DEKSAMETASON 1 MG TETES MATA (CENDO TOBROSON MINIDOSE),,|00M|,,,|1.01.04.01.001|,|84245|,16,,| |,,|M00|,29667,,| |
,KOMBINASI NATRIUM KLORIDA 4.4 MG + KALIUM KLORIDA 0.8 MG + BENZALKONIUM KLORIDA TETES MATA (CENDO LYTEERS MINIDOSE),,|00M|,,,|1.01.04.01.001|,|84250|,2,,| |,,|M00|,19692.75,,| |
,KOMBINASI DEKSAMETASON 1 MG + NEOMISIN 3.5 MG + POLIMIKSIN B SULFAT 6000 IU TETES MATA (CENDO XYTROL MINIDOSE),,|00M|,,,|1.01.04.01.001|,|84262|,5,,| |,,|M00|,24935.63,,| |
,KOMBINASI FLUOROMETASON 1 MG + NEOMISIN 3.5 MG TETES MATA (CENDO POLYNEL MINIDOSE),,|00M|,,,|1.01.04.01.001|,|84273|,31,,| |,,|M00|,18286.13,,| |
,GENTAMISIN SALEP MATA 0.3% 3.5 GR (CENDO),,|00M|,,,|1.01.04.01.005|,|84342|,69,,| |,,|M00|,37211.63,,| |
,KOMBINASI POLIVINILPIROLIDON 20 MG + VITAMIN A + NATRIUM HIALURONAT TETES MATA (PROTAGENTA 0.6 ML @ 5`S MINIDOSE),,|00M|,,,|1.01.04.01.001|,|84350|,1,,| |,,|M00|,36700.13,,| |
,IMATINIB MESILAT TAB 100 MG (GLIVEC FCT),,|00M|,,,|1.01.04.01.002|,|102011|,4650,,| |,,|M00|,35167,,| |
,ENDOPATCH XCEL DILATING TIP TROCAR 12 MM (JNJ),,|00M|,,,|1.01.04.01.007|,|105005|,1,,| |,,|M00|,2032608.6,,| |
,NYLON BLACK 10-0 MEDEQ,,|00M|,,,|1.01.04.01.006|,|113542|,5,,| |,,|M00|,96800,,| |
,3.5 DISTAL TIBIAL MEDIAL LCP 8HOLE R (BAS),,|00M|,,,|1.01.04.01.006|,|132541|,6,,| |,,|M00|,4651900,,| |
,KLOZAPIN TAB 25 MG,,|00M|,,,|1.01.04.01.002|,|140873|,8,,| |,,|M00|,1121,,| |
